حسابات مدينة | حسابات دائنة | اسم الحساب | المصاريف | الموجودات | الإيرادات | المطاليب
مدينة | | المشتريات | √ | | |
مدينة | | الإيجار (المدين) | √ | | |
| دائنة | الإيجار الدائن | | | √ |
مدينة | | الأراضي | | √ | |
مدينة | | الآلات | | √ | |
مدينة | | التجهيزات | | √ | |
مدينة | | الحواسيب | | √ | |
مدينة | | الرواتب والأجور | √ | | |
مدينة | | الزبائن (المدينين) | | √ | |
مدينة | | السيارات | | √ | |
مدينة | | القرطاسية والمطبوعات | √ | | |
مدينة | | العمولات المصرفية | √ | | |
مدينة | | الفوائد (المدينة) | √ | | |
| دائنة | الفوائد الدائنة | | | √ |
مدينة | | المباني | | √ | |
| دائنة | المبيعات | | | √ |
مدينة | | المصرف | | √ | |
مدينة | | المعدات | | √ | |
مدينة | | المفروشات | | √ | |
| دائنة | الموردين (الدائنين) | | | | √
| دائنة | أوراق الدفع | | | | √
مدينة | | أوراق القبض | | √ | |
مدينة | | مصاريف النقل | √ | | |
مدينة | | الدعاية والإعلان | √ | | |
مدينة | | الصندوق | | √ | |
مدينة | | النور والمياه | √ | | |
مدينة | | الهاتف والانترنيت | √ | | |
| دائنة | مردودات المشتريات | | | √ |
مدينة | | مردودات المبيعات | √ | | |
مدينة | | مصاريف الانتقال | √ | | |
| دائنة | رأس المال | | | | √
